Tier  Item
  10  block
  10  block.dense
  10  cable
  10  cable.insulated
   5  chip
  10  circuit
  10  dust
  10  ingot
  10  motor
  10  pipe
  10  plate
  10  plate.circuit
  10  plate.dense
  10  plate.rubber
  10  plate.stack
  10  pump
  10  ring
  10  rod
  10  screw
  10  wire
  10  machine.assembler
  10  machine.boiler
  10  machine.crusher
  10  machine.cutter
  10  machine.mixer
  10  machine.oven
  10  machine.presser
  10  machine.refinery
  10  machine.shaper
  10  machine.transportbelt
   5  producer.arcade
   5  producer.constructionFirm
   5  producer.factory
   5  producer.headquarters
   5  producer.laboratory
   5  producer.mine
   5  producer.museum
   5  producer.powerplant
   5  producer.shipyard
   5  producer.statueofcubos
   5  producer.town
   5  producer.tradingpost
   5  producer.workshop
   5  producer.gems
   5  producer.exoticgems
